Match,Round,GameDate,Location,HomeTeam,AwayTeam,Result
88,9,25/10/2021 00:00,Luigi Ferraris,Sampdoria,Spezia,
89,9,25/10/2021 00:00,Mapei Stadium,Sassuolo,Venezia,
90,9,25/10/2021 00:00,Olimpico Grande Torino,Torino,Genoa,
91,10,28/10/2021 00:00,Sardegna Arena,Cagliari,Roma,
92,10,28/10/2021 00:00,Carlo Castellani,Empoli,Inter,
93,10,28/10/2021 00:00,Allianz Stadium,Juventus,Sassuolo,
94,10,28/10/2021 00:00,Olimpico,Lazio,Fiorentina,
95,10,28/10/2021 00:00,Giuseppe Meazza,Milan,Torino,
96,10,28/10/2021 00:00,Diego Armando Maradona,Napoli,Bologna,
97,10,28/10/2021 00:00,Luigi Ferraris,Sampdoria,Atalanta,
98,10,28/10/2021 00:00,Alberto Picco,Spezia,Genoa,
99,10,28/10/2021 00:00,Stadio Friuli,Udinese,Hellas Verona,
100,10,28/10/2021 00:00,Pier Luigi Penzo,Venezia,Salernitana,
101,11,01/11/2021 01:00,Gewiss Stadium,Atalanta,Lazio,
102,11,01/11/2021 01:00,Renato Dall'Ara,Bologna,Cagliari,
103,11,01/11/2021 01:00,Artemio Franchi,Fiorentina,Spezia,
104,11,01/11/2021 01:00,Luigi Ferraris,Genoa,Venezia,
105,11,01/11/2021 01:00,Marcantonio Bentegodi,Hellas Verona,Juventus,
106,11,01/11/2021 01:00,Giuseppe Meazza,Inter,Udinese,
107,11,01/11/2021 01:00,Olimpico,Roma,Milan,
108,11,01/11/2021 01:00,Arechi,Salernitana,Napoli,
109,11,01/11/2021 01:00,Mapei Stadium,Sassuolo,Empoli,
110,11,01/11/2021 01:00,Olimpico Grande Torino,Torino,Sampdoria,
111,12,08/11/2021 01:00,Sardegna Arena,Cagliari,Atalanta,
112,12,08/11/2021 01:00,Carlo Castellani,Empoli,Genoa,
113,12,08/11/2021 01:00,Allianz Stadium,Juventus,Fiorentina,
114,12,08/11/2021 01:00,Olimpico,Lazio,Salernitana,
115,12,08/11/2021 01:00,Giuseppe Meazza,Milan,Inter,
116,12,08/11/2021 01:00,Diego Armando Maradona,Napoli,Hellas Verona,
117,12,08/11/2021 01:00,Luigi Ferraris,Sampdoria,Bologna,
118,12,08/11/2021 01:00,Alberto Picco,Spezia,Torino,
119,12,08/11/2021 01:00,Stadio Friuli,Udinese,Sassuolo,
120,12,08/11/2021 01:00,Pier Luigi Penzo,Venezia,Roma,
121,13,22/11/2021 01:00,Gewiss Stadium,Atalanta,Spezia,
122,13,22/11/2021 01:00,Renato Dall'Ara,Bologna,Venezia,
123,13,22/11/2021 01:00,Artemio Franchi,Fiorentina,Milan,
124,13,22/11/2021 01:00,Luigi Ferraris,Genoa,Roma,
125,13,22/11/2021 01:00,Marcantonio Bentegodi,Hellas Verona,Empoli,
126,13,22/11/2021 01:00,Giuseppe Meazza,Inter,Napoli,
127,13,22/11/2021 01:00,Olimpico,Lazio,Juventus,
128,13,22/11/2021 01:00,Arechi,Salernitana,Sampdoria,
129,13,22/11/2021 01:00,Mapei Stadium,Sassuolo,Cagliari,
130,13,22/11/2021 01:00,Olimpico Grande Torino,Torino,Udinese,
131,14,29/11/2021 01:00,Sardegna Arena,Cagliari,Salernitana,
132,14,29/11/2021 01:00,Carlo Castellani,Empoli,Fiorentina,
133,14,29/11/2021 01:00,Allianz Stadium,Juventus,Atalanta,
134,14,29/11/2021 01:00,Giuseppe Meazza,Milan,Sassuolo,
135,14,29/11/2021 01:00,Diego Armando Maradona,Napoli,Lazio,
136,14,29/11/2021 01:00,Olimpico,Roma,Torino,
137,14,29/11/2021 01:00,Luigi Ferraris,Sampdoria,Hellas Verona,
138,14,29/11/2021 01:00,Alberto Picco,Spezia,Bologna,
139,14,29/11/2021 01:00,Stadio Friuli,Udinese,Genoa,
140,14,29/11/2021 01:00,Pier Luigi Penzo,Venezia,Inter,
141,15,02/12/2021 01:00,Gewiss Stadium,Atalanta,Venezia,
142,15,02/12/2021 01:00,Renato Dall'Ara,Bologna,Roma,
143,15,02/12/2021 01:00,Artemio Franchi,Fiorentina,Sampdoria,
144,15,02/12/2021 01:00,Luigi Ferraris,Genoa,Milan,
145,15,02/12/2021 01:00,Marcantonio Bentegodi,Hellas Verona,Cagliari,
146,15,02/12/2021 01:00,Giuseppe Meazza,Inter,Spezia,
147,15,02/12/2021 01:00,Olimpico,Lazio,Udinese,
148,15,02/12/2021 01:00,Arechi,Salernitana,Juventus,
149,15,02/12/2021 01:00,Mapei Stadium,Sassuolo,Napoli,
150,15,02/12/2021 01:00,Olimpico Grande Torino,Torino,Empoli,
151,16,06/12/2021 01:00,Renato Dall'Ara,Bologna,Fiorentina,
152,16,06/12/2021 01:00,Sardegna Arena,Cagliari,Torino,
153,16,06/12/2021 01:00,Carlo Castellani,Empoli,Udinese,
154,16,06/12/2021 01:00,Allianz Stadium,Juventus,Genoa,
155,16,06/12/2021 01:00,Giuseppe Meazza,Milan,Salernitana,
156,16,06/12/2021 01:00,Diego Armando Maradona,Napoli,Atalanta,
157,16,06/12/2021 01:00,Olimpico,Roma,Inter,
158,16,06/12/2021 01:00,Luigi Ferraris,Sampdoria,Lazio,
